locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJOBDCKL_01753	CDS	2094	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
FJOBDCKL_01754	CDS	2124	yccS		COG1289	Inner membrane protein YccS
FJOBDCKL_01755	CDS	357				hypothetical protein
FJOBDCKL_01756	CDS	276	hup			DNA-binding protein HU
FJOBDCKL_01757	CDS	1161	alkT	1.18.1.1	COG1251	Rubredoxin-NAD(+) reductase
FJOBDCKL_01758	CDS	591	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
FJOBDCKL_01759	CDS	891	ubiA	2.5.1.-	COG0382	4-hydroxybenzoate octaprenyltransferase
FJOBDCKL_01760	CDS	690	phoB_2		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
FJOBDCKL_01761	CDS	1305	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
FJOBDCKL_01762	CDS	729	cysZ		COG2981	Sulfate transporter CysZ
FJOBDCKL_01763	CDS	729	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
FJOBDCKL_01764	CDS	813	pstB_1	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB
FJOBDCKL_01765	CDS	1545				hypothetical protein
FJOBDCKL_01766	CDS	1215				hypothetical protein
FJOBDCKL_01767	CDS	972	pstS			Phosphate-binding protein PstS
FJOBDCKL_01768	CDS	408		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
FJOBDCKL_01769	CDS	1101			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
FJOBDCKL_01770	CDS	2202	uvrD_2	3.6.4.12	COG0210	DNA helicase II
FJOBDCKL_01771	CDS	864	hexR_1		COG1737	HTH-type transcriptional regulator HexR
FJOBDCKL_01772	CDS	216				hypothetical protein
FJOBDCKL_01773	CDS	1344				hypothetical protein
FJOBDCKL_01774	CDS	828				hypothetical protein
FJOBDCKL_01775	CDS	1377				hypothetical protein
FJOBDCKL_01776	CDS	1584				hypothetical protein
FJOBDCKL_01777	CDS	1020	norR			Anaerobic nitric oxide reductase transcription regulator NorR
FJOBDCKL_01778	CDS	972			COG3039	IS5 family transposase ISEc68
FJOBDCKL_01779	CDS	861	cysL_3		COG0583	HTH-type transcriptional regulator CysL
FJOBDCKL_01780	CDS	1011	ptxD	1.20.1.1		Phosphonate dehydrogenase
FJOBDCKL_01781	CDS	831	phnE_4		COG3639	Phosphate-import permease protein PhnE
FJOBDCKL_01782	CDS	864	ptxB_2			putative phosphite transport system-binding protein PtxB
FJOBDCKL_01783	CDS	1362				IS1380 family transposase ISAzo40
FJOBDCKL_01784	CDS	816	phnC_3	3.6.3.27	COG3638	Phosphate-import ATP-binding protein PhnC
FJOBDCKL_01785	CDS	1029				IS630 family transposase ISAzo32
FJOBDCKL_01786	CDS	1581	tnsC_1			Transposon Tn7 transposition protein TnsC
FJOBDCKL_01787	CDS	2067	tnsB_1			Transposon Tn7 transposition protein TnsB
FJOBDCKL_01788	CDS	825	tnsA_1			Transposon Tn7 transposition protein TnsA
FJOBDCKL_01789	CDS	1236	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
FJOBDCKL_01790	CDS	1338	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
FJOBDCKL_01791	CDS	579				hypothetical protein
FJOBDCKL_01792	CDS	303	zapA		COG3027	Cell division protein ZapA
FJOBDCKL_01793	CDS	645	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
FJOBDCKL_01794	CDS	96				hypothetical protein
FJOBDCKL_01795	CDS	1515	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
FJOBDCKL_01796	CDS	690	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
FJOBDCKL_01797	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
FJOBDCKL_01798	CDS	1431	hldE		COG2870	Bifunctional protein HldE
FJOBDCKL_01799	CDS	1050	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
FJOBDCKL_01800	CDS	720	kdkA	2.7.1.166	COG0515	3-deoxy-D-manno-octulosonic acid kinase
FJOBDCKL_01801	CDS	588	yrbL			putative protein YrbL
FJOBDCKL_01802	CDS	1128	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
FJOBDCKL_01803	CDS	750				hypothetical protein
FJOBDCKL_01804	CDS	1044	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FJOBDCKL_01805	CDS	966				hypothetical protein
FJOBDCKL_01806	CDS	1323				hypothetical protein
FJOBDCKL_01807	CDS	378				hypothetical protein
FJOBDCKL_01808	CDS	252				hypothetical protein
FJOBDCKL_01809	CDS	1026				hypothetical protein
FJOBDCKL_01810	CDS	879				hypothetical protein
FJOBDCKL_01811	CDS	1683	mdoB	2.7.8.20		Phosphoglycerol transferase I
FJOBDCKL_01812	CDS	1056	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
FJOBDCKL_01813	CDS	957	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
FJOBDCKL_01814	CDS	975	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
FJOBDCKL_01815	CDS	2067	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
FJOBDCKL_01816	CDS	585	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
FJOBDCKL_01817	CDS	2421	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
FJOBDCKL_01818	CDS	1116	recF		COG1195	DNA replication and repair protein RecF
FJOBDCKL_01819	CDS	1104	dnaN		COG0592	Beta sliding clamp
FJOBDCKL_01820	CDS	1470	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FJOBDCKL_01821	CDS	135	rpmH			50S ribosomal protein L34
FJOBDCKL_01822	CDS	453	rnpA	3.1.26.5		Ribonuclease P protein component
FJOBDCKL_01823	CDS	1689	yidC			Membrane protein insertase YidC
FJOBDCKL_01824	CDS	1368	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
FJOBDCKL_01825	CDS	135				hypothetical protein
FJOBDCKL_01826	CDS	756				IS21 family transposase ISSpu5
FJOBDCKL_01827	CDS	1539				IS21 family transposase ISPpu7
FJOBDCKL_01828	CDS	732	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
FJOBDCKL_01829	CDS	678	yiaD		COG2885	putative lipoprotein YiaD
FJOBDCKL_01830	CDS	1182	hemN_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
FJOBDCKL_01831	CDS	615	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FJOBDCKL_01832	CDS	1260				hypothetical protein
FJOBDCKL_01833	CDS	1293	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
FJOBDCKL_01834	CDS	837	thiD_3	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
FJOBDCKL_01835	CDS	432				hypothetical protein
FJOBDCKL_01836	CDS	1899	clcB_2			Voltage-gated ClC-type chloride channel ClcB
FJOBDCKL_01837	CDS	1035	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
FJOBDCKL_01838	CDS	354	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
FJOBDCKL_01839	CDS	789	glnH		COG0834	Glutamine-binding periplasmic protein
FJOBDCKL_01840	CDS	672	glnP		COG0765	Glutamine transport system permease protein GlnP
FJOBDCKL_01841	CDS	768	glnQ_3			Glutamine transport ATP-binding protein GlnQ
FJOBDCKL_01842	CDS	1905	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
FJOBDCKL_01843	CDS	651	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
FJOBDCKL_01844	CDS	771	parA			Chromosome partitioning protein ParA
FJOBDCKL_01845	CDS	921	parB		COG1475	putative chromosome-partitioning protein ParB
FJOBDCKL_01846	CDS	402				hypothetical protein
FJOBDCKL_01847	CDS	828	atpB		COG0356	ATP synthase subunit a
FJOBDCKL_01848	CDS	228	atpE		COG0636	ATP synthase subunit c
FJOBDCKL_01849	CDS	471	atpF		COG0711	ATP synthase subunit b
FJOBDCKL_01850	CDS	537	atpH		COG0712	ATP synthase subunit delta
FJOBDCKL_01851	CDS	1545	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
FJOBDCKL_01852	CDS	882	atpG		COG0224	ATP synthase gamma chain
FJOBDCKL_01853	CDS	1377	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
FJOBDCKL_01854	CDS	426	atpC		COG0355	ATP synthase epsilon chain
FJOBDCKL_01855	CDS	1374			COG2239	Magnesium transporter MgtE
FJOBDCKL_01856	CDS	798	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
FJOBDCKL_01857	CDS	1116	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
FJOBDCKL_01858	CDS	1365	glmU			Bifunctional protein GlmU
FJOBDCKL_01859	CDS	1836	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FJOBDCKL_01860	CDS	819	tnsA_2			Transposon Tn7 transposition protein TnsA
FJOBDCKL_01861	CDS	2076	tnsB_2			Transposon Tn7 transposition protein TnsB
FJOBDCKL_01862	CDS	1656	tnsC_2			Transposon Tn7 transposition protein TnsC
FJOBDCKL_01863	CDS	1506				hypothetical protein
FJOBDCKL_01864	CDS	1596	tnsE			Transposon Tn7 transposition protein TnsE
FJOBDCKL_01865	CDS	1134				hypothetical protein
FJOBDCKL_01866	CDS	3042	bepG			Efflux pump membrane transporter BepG
FJOBDCKL_01867	CDS	1131	mdtA_3			Multidrug resistance protein MdtA
FJOBDCKL_01868	CDS	276				hypothetical protein
FJOBDCKL_01869	CDS	366	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
FJOBDCKL_01870	CDS	519				hypothetical protein
FJOBDCKL_01871	CDS	1137	cca		COG0617	Multifunctional CCA protein
FJOBDCKL_01872	CDS	321	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
FJOBDCKL_01873	CDS	822	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
FJOBDCKL_01874	CDS	414	apaG		COG2967	Protein ApaG
FJOBDCKL_01875	CDS	819	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FJOBDCKL_01876	CDS	1074	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
FJOBDCKL_01877	CDS	654	surA_2	5.2.1.8		Chaperone SurA
FJOBDCKL_01878	CDS	2442	lptD		COG1452	LPS-assembly protein LptD
FJOBDCKL_01879	CDS	1023	amgK	2.7.1.-	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
FJOBDCKL_01880	CDS	666	murU	2.7.7.-	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
FJOBDCKL_01881	CDS	420	yhfA		COG1765	Protein YhfA
FJOBDCKL_01882	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
FJOBDCKL_01883	CDS	873	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
FJOBDCKL_01884	CDS	441				hypothetical protein
FJOBDCKL_01885	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
FJOBDCKL_01886	CDS	471				hypothetical protein
FJOBDCKL_01887	CDS	714				hypothetical protein
FJOBDCKL_01888	CDS	567				hypothetical protein
FJOBDCKL_01889	CDS	1284				Tn3 family transposase TnXax1
FJOBDCKL_01890	CDS	1284	cry			Cryptochrome DASH
FJOBDCKL_01891	CDS	405				hypothetical protein
FJOBDCKL_01892	CDS	270	mrpF_2		COG2212	Na(+)/H(+) antiporter subunit F
FJOBDCKL_01893	CDS	474	mrpE_2		COG1863	Na(+)/H(+) antiporter subunit E
FJOBDCKL_01894	CDS	1518	mrpD_2		COG0651	Na(+)/H(+) antiporter subunit D
FJOBDCKL_01895	CDS	348	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
FJOBDCKL_01896	CDS	435	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
FJOBDCKL_01897	CDS	2331	mrpA_1		COG1009	Na(+)/H(+) antiporter subunit A
FJOBDCKL_01898	CDS	2829	mrpA_2		COG1009	Na(+)/H(+) antiporter subunit A
FJOBDCKL_01899	CDS	345	mnhC1_2		COG1006	Na(+)/H(+) antiporter subunit C1
FJOBDCKL_01900	CDS	1509	mrpD_3		COG0651	Na(+)/H(+) antiporter subunit D
FJOBDCKL_01901	CDS	498	mnhE1			Na(+)/H(+) antiporter subunit E1
FJOBDCKL_01902	CDS	270	mrpF_3		COG2212	Na(+)/H(+) antiporter subunit F
FJOBDCKL_01903	CDS	393	mnhG1		COG1320	Na(+)/H(+) antiporter subunit G1
FJOBDCKL_01904	CDS	1089	hemH	4.99.1.1	COG0276	Ferrochelatase
FJOBDCKL_01905	CDS	1611	phrB_1	4.1.99.13	COG3046	(6-4) photolyase
FJOBDCKL_01906	CDS	393				hypothetical protein
FJOBDCKL_01907	CDS	303				hypothetical protein
FJOBDCKL_01908	CDS	294				hypothetical protein
FJOBDCKL_01909	CDS	1389	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FJOBDCKL_01910	CDS	447	rplI		COG0359	50S ribosomal protein L9
FJOBDCKL_01911	CDS	852				hypothetical protein
FJOBDCKL_01912	CDS	228	rpsR		COG0238	30S ribosomal protein S18
FJOBDCKL_01913	CDS	384	rpsF		COG0360	30S ribosomal protein S6
FJOBDCKL_01914	CDS	1383				hypothetical protein
FJOBDCKL_01915	CDS	810	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
FJOBDCKL_01916	CDS	2433	rnr	3.1.13.1	COG0557	Ribonuclease R
FJOBDCKL_01917	tRNA	87				tRNA-Leu(cag)
FJOBDCKL_01918	tRNA	87				tRNA-Leu(cag)
FJOBDCKL_01919	tRNA	87				tRNA-Leu(cag)
FJOBDCKL_01920	CDS	867				hypothetical protein
FJOBDCKL_01921	CDS	276				hypothetical protein
FJOBDCKL_01922	CDS	315				hypothetical protein
FJOBDCKL_01923	CDS	1557				hypothetical protein
FJOBDCKL_01924	CDS	1287				hypothetical protein
FJOBDCKL_01925	CDS	1923				hypothetical protein
FJOBDCKL_01926	CDS	2013	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
FJOBDCKL_01927	tRNA	77				tRNA-Asp(gtc)
FJOBDCKL_01928	tRNA	77				tRNA-Val(cac)
FJOBDCKL_01929	tRNA	77				tRNA-Asp(gtc)
FJOBDCKL_01930	tRNA	77				tRNA-Asp(gtc)
FJOBDCKL_01931	tRNA	76				tRNA-Val(tac)
FJOBDCKL_01932	CDS	744				hypothetical protein
FJOBDCKL_01933	CDS	1425	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
FJOBDCKL_01934	CDS	606				hypothetical protein
FJOBDCKL_01935	CDS	216				hypothetical protein
FJOBDCKL_01936	CDS	930	ccoP2		COG2010	Cbb3-type cytochrome c oxidase subunit CcoP2
FJOBDCKL_01937	CDS	1440				hypothetical protein
FJOBDCKL_01938	CDS	504				hypothetical protein
FJOBDCKL_01939	CDS	2487	copA_1	3.6.3.54	COG2217	Copper-exporting P-type ATPase
FJOBDCKL_01940	CDS	243				hypothetical protein
FJOBDCKL_01941	CDS	705				hypothetical protein
FJOBDCKL_01942	CDS	1341	hemN_2	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
FJOBDCKL_01943	CDS	744	anr_1			Transcriptional activator protein Anr
FJOBDCKL_01944	CDS	927	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
FJOBDCKL_01945	CDS	627	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
FJOBDCKL_01946	CDS	1821				hypothetical protein
FJOBDCKL_01947	CDS	261				hypothetical protein
FJOBDCKL_01948	CDS	1797	actP_1			Cation/acetate symporter ActP
FJOBDCKL_01949	CDS	519				hypothetical protein
FJOBDCKL_01950	CDS	3948	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FJOBDCKL_01951	CDS	663	degU_1		COG2197	Transcriptional regulatory protein DegU
FJOBDCKL_01952	CDS	1950	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
FJOBDCKL_01953	CDS	561	sprT			Protein SprT
FJOBDCKL_01954	CDS	648				hypothetical protein
FJOBDCKL_01955	CDS	1122	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
FJOBDCKL_01956	CDS	2451	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
FJOBDCKL_01957	CDS	759	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
FJOBDCKL_01958	CDS	774	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
FJOBDCKL_01959	CDS	1389	thrC	4.2.3.1	COG0498	Threonine synthase
FJOBDCKL_01960	CDS	1317	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
FJOBDCKL_01961	CDS	750	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
FJOBDCKL_01962	CDS	900	xerD		COG4974	Tyrosine recombinase XerD
FJOBDCKL_01963	CDS	357	rplS		COG0335	50S ribosomal protein L19
FJOBDCKL_01964	CDS	804	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
FJOBDCKL_01965	CDS	552	rimM		COG0806	Ribosome maturation factor RimM
FJOBDCKL_01966	CDS	249	rpsP		COG0228	30S ribosomal protein S16
FJOBDCKL_01967	CDS	1419	ffh		COG0541	Signal recognition particle protein
FJOBDCKL_01968	CDS	801				hypothetical protein
FJOBDCKL_01969	CDS	1272				hypothetical protein
FJOBDCKL_01970	CDS	723	aas	6.2.1.20		Bifunctional protein Aas
FJOBDCKL_01971	CDS	606				hypothetical protein
FJOBDCKL_01972	CDS	690	yedK_2	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
FJOBDCKL_01973	CDS	2856	ptrA	3.4.24.55	COG1025	Protease 3
FJOBDCKL_01974	CDS	1491	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
FJOBDCKL_01975	CDS	261	minE		COG0851	Cell division topological specificity factor
FJOBDCKL_01976	CDS	819	minD		COG2894	Septum site-determining protein MinD
FJOBDCKL_01977	CDS	747	minC		COG0850	Septum site-determining protein MinC
FJOBDCKL_01978	CDS	2784				hypothetical protein
FJOBDCKL_01979	CDS	747	phaB_3	1.1.1.36		Acetoacetyl-CoA reductase
FJOBDCKL_01980	tRNA	77				tRNA-Met(cat)
FJOBDCKL_01981	CDS	210				hypothetical protein
FJOBDCKL_01982	CDS	243				hypothetical protein
FJOBDCKL_01983	CDS	1230	intQ		COG0582	Putative defective protein IntQ
FJOBDCKL_01984	CDS	978				hypothetical protein
FJOBDCKL_01985	CDS	765				hypothetical protein
FJOBDCKL_01986	CDS	201				hypothetical protein
FJOBDCKL_01987	CDS	354				hypothetical protein
FJOBDCKL_01988	CDS	327				hypothetical protein
FJOBDCKL_01989	CDS	255				hypothetical protein
FJOBDCKL_01990	CDS	2409	copA_2	3.6.3.54	COG2217	Copper-exporting P-type ATPase
FJOBDCKL_01991	CDS	246				hypothetical protein
FJOBDCKL_01992	CDS	660				hypothetical protein
FJOBDCKL_01993	CDS	267				hypothetical protein
FJOBDCKL_01994	CDS	1794				hypothetical protein
FJOBDCKL_01995	CDS	459				hypothetical protein
FJOBDCKL_01996	CDS	1203	ackA_2	2.7.2.1	COG0282	Acetate kinase
FJOBDCKL_01997	CDS	1020	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
FJOBDCKL_01998	CDS	1752	phaC_2	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
FJOBDCKL_01999	CDS	1032	adh_1	1.1.1.1	COG1063	Alcohol dehydrogenase
FJOBDCKL_02000	CDS	117				hypothetical protein
FJOBDCKL_02001	CDS	1071				hypothetical protein
FJOBDCKL_02002	CDS	201				hypothetical protein
FJOBDCKL_02003	CDS	297				hypothetical protein
FJOBDCKL_02004	CDS	915				hypothetical protein
FJOBDCKL_02005	CDS	882	czcD_1			Metal cation efflux system protein CzcD
FJOBDCKL_02006	CDS	339				hypothetical protein
FJOBDCKL_02007	CDS	810	lgt_2	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
FJOBDCKL_02008	CDS	3126	cusA		COG3696	Cation efflux system protein CusA
FJOBDCKL_02009	CDS	1488	mdtA_4			Multidrug resistance protein MdtA
FJOBDCKL_02010	CDS	1164				hypothetical protein
FJOBDCKL_02011	CDS	771	copB_1			Copper resistance protein B
FJOBDCKL_02012	CDS	1836	copA_3			Copper resistance protein A
FJOBDCKL_02013	CDS	1335				hypothetical protein
FJOBDCKL_02014	CDS	666	basR_2			Transcriptional regulatory protein BasR
FJOBDCKL_02015	CDS	495				hypothetical protein
FJOBDCKL_02016	CDS	765				hypothetical protein
FJOBDCKL_02017	CDS	303				hypothetical protein
FJOBDCKL_02018	CDS	153				hypothetical protein
FJOBDCKL_02019	CDS	441				hypothetical protein
FJOBDCKL_02020	CDS	672				hypothetical protein
FJOBDCKL_02021	CDS	756				IS21 family transposase ISSpu5
FJOBDCKL_02022	CDS	813				IS21 family transposase IS1162
FJOBDCKL_02023	CDS	315	higA-2		COG2944	Antitoxin HigA-2
FJOBDCKL_02024	CDS	393				hypothetical protein
FJOBDCKL_02025	CDS	1533				hypothetical protein
FJOBDCKL_02026	CDS	381				hypothetical protein
FJOBDCKL_02027	CDS	1485				hypothetical protein
FJOBDCKL_02028	CDS	951				hypothetical protein
FJOBDCKL_02029	CDS	435				hypothetical protein
FJOBDCKL_02030	CDS	375				hypothetical protein
FJOBDCKL_02031	CDS	1302				ISL3 family transposase ISPst9
FJOBDCKL_02032	CDS	447	merR_1			Mercuric resistance operon regulatory protein
FJOBDCKL_02033	CDS	351	merT_1			Mercuric transport protein MerT
FJOBDCKL_02034	CDS	297				hypothetical protein
FJOBDCKL_02035	CDS	258				hypothetical protein
FJOBDCKL_02036	CDS	240				hypothetical protein
FJOBDCKL_02037	CDS	1650	merA_1	1.16.1.1		Mercuric reductase
FJOBDCKL_02038	CDS	135				hypothetical protein
FJOBDCKL_02039	CDS	897				hypothetical protein
FJOBDCKL_02040	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
FJOBDCKL_02041	CDS	3186				hypothetical protein
FJOBDCKL_02042	CDS	1635				hypothetical protein
FJOBDCKL_02043	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
FJOBDCKL_02044	CDS	528				hypothetical protein
FJOBDCKL_02045	CDS	822	resA_1			Thiol-disulfide oxidoreductase ResA
FJOBDCKL_02046	CDS	762	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
FJOBDCKL_02047	CDS	966	tsdA	1.8.2.2	COG3258	Thiosulfate dehydrogenase
FJOBDCKL_02048	CDS	723				hypothetical protein
FJOBDCKL_02049	CDS	1329	qseC_1	2.7.13.3		Sensor protein QseC
FJOBDCKL_02050	CDS	690	qseB_1			Transcriptional regulatory protein QseB
FJOBDCKL_02051	CDS	414				hypothetical protein
FJOBDCKL_02052	CDS	462				hypothetical protein
FJOBDCKL_02053	CDS	1863			COG0659	putative sulfate transporter
FJOBDCKL_02054	CDS	435				hypothetical protein
FJOBDCKL_02055	CDS	867		3.-.-.-		putative metallo-hydrolase
FJOBDCKL_02056	CDS	912	blh	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
FJOBDCKL_02057	CDS	192				hypothetical protein
FJOBDCKL_02058	CDS	489				hypothetical protein
FJOBDCKL_02059	CDS	591	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
FJOBDCKL_02060	CDS	627				hypothetical protein
FJOBDCKL_02061	CDS	972	acr3_1		COG0798	Arsenical-resistance protein Acr3
FJOBDCKL_02062	CDS	1410		3.1.-.-	COG1236	Ribonuclease
FJOBDCKL_02063	CDS	1266	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
FJOBDCKL_02064	CDS	1161				hypothetical protein
FJOBDCKL_02065	CDS	1428		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
FJOBDCKL_02066	CDS	2583				hypothetical protein
FJOBDCKL_02067	CDS	717			COG1136	putative ABC transporter ATP-binding protein
FJOBDCKL_02068	CDS	645	tesA	3.1.1.1	COG2755	Esterase TesA
FJOBDCKL_02069	CDS	891				hypothetical protein
FJOBDCKL_02070	CDS	1314				hypothetical protein
FJOBDCKL_02071	CDS	435	pfyP			Blue-light photoreceptor
FJOBDCKL_02072	CDS	204				hypothetical protein
FJOBDCKL_02073	CDS	1662	ettA		COG0488	Energy-dependent translational throttle protein EttA
FJOBDCKL_02074	CDS	900	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
FJOBDCKL_02075	CDS	1104	alr	5.1.1.1		Alanine racemase
FJOBDCKL_02076	CDS	987	rpoS			RNA polymerase sigma factor RpoS
FJOBDCKL_02077	CDS	1158				hypothetical protein
FJOBDCKL_02078	CDS	972				hypothetical protein
FJOBDCKL_02079	CDS	681	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
FJOBDCKL_02080	CDS	747	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
FJOBDCKL_02081	CDS	1077	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
FJOBDCKL_02082	CDS	528	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
FJOBDCKL_02083	CDS	735	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
FJOBDCKL_02084	CDS	336	ftsB			Cell division protein FtsB
FJOBDCKL_02085	CDS	1164				hypothetical protein
FJOBDCKL_02086	CDS	1398	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
FJOBDCKL_02087	CDS	1878	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
FJOBDCKL_02088	CDS	912	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
FJOBDCKL_02089	CDS	663	eda		COG0800	KHG/KDPG aldolase
FJOBDCKL_02090	CDS	669	pgl	3.1.1.31		6-phosphogluconolactonase
FJOBDCKL_02091	CDS	1494	zwf	1.1.1.363	COG0364	Glucose-6-phosphate 1-dehydrogenase
FJOBDCKL_02092	CDS	861	hexR_2		COG1737	HTH-type transcriptional regulator HexR
FJOBDCKL_02093	CDS	375	yabJ_3	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FJOBDCKL_02094	CDS	855				hypothetical protein
FJOBDCKL_02095	CDS	1491				hypothetical protein
FJOBDCKL_02096	CDS	879				hypothetical protein
FJOBDCKL_02097	CDS	804				hypothetical protein
FJOBDCKL_02098	CDS	1455				hypothetical protein
FJOBDCKL_02099	CDS	675				hypothetical protein
FJOBDCKL_02100	CDS	615				hypothetical protein
FJOBDCKL_02101	CDS	198				hypothetical protein
FJOBDCKL_02102	CDS	579				hypothetical protein
FJOBDCKL_02103	CDS	357				hypothetical protein
FJOBDCKL_02104	CDS	2349				hypothetical protein
FJOBDCKL_02105	CDS	957	cysA_1	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase
FJOBDCKL_02106	CDS	684		3.8.1.2		(S)-2-haloacid dehalogenase
